Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2017-06-30,SBIN,2017-08-31,275.1,276.95,272.3,276.05,275.9,276.05,237,195245000.0,885000,237000,273.65
2017-07-03,SBIN,2017-08-31,277.0,277.65,275.0,277.4,277.6,277.4,122,101305000.0,912000,27000,274.85
2017-07-04,SBIN,2017-08-31,277.05,278.65,274.2,275.3,275.65,275.3,133,110149000.0,960000,48000,273.0
2017-07-05,SBIN,2017-08-31,275.9,278.15,274.65,277.75,277.6,277.75,170,141181000.0,1086000,126000,274.9
2017-07-06,SBIN,2017-08-31,277.2,284.95,277.2,282.75,282.8,282.75,295,250387000.0,1152000,66000,281.0
2017-07-07,SBIN,2017-08-31,284.0,284.0,281.7,282.0,281.8,282.0,85,72112000.0,1221000,69000,280.1
2017-07-10,SBIN,2017-08-31,284.0,289.65,284.0,288.0,287.8,288.0,186,160346000.0,1161000,-60000,285.55
2017-07-11,SBIN,2017-08-31,289.5,291.85,285.7,286.15,286.4,286.15,344,298485000.0,1332000,171000,283.55
2017-07-12,SBIN,2017-08-31,287.6,290.3,285.25,289.7,289.95,289.7,219,189006000.0,1479000,147000,287.65
2017-07-13,SBIN,2017-08-31,291.3,294.55,289.0,290.95,290.9,290.95,330,288089000.0,1794000,315000,288.75
2017-07-14,SBIN,2017-08-31,289.75,295.75,289.5,293.85,294.1,293.85,586,515701000.0,2142000,348000,291.6
2017-07-17,SBIN,2017-08-31,294.55,296.45,291.8,295.0,295.1,295.0,888,782808000.0,3183000,1041000,293.0
2017-07-18,SBIN,2017-08-31,294.5,298.5,292.35,293.15,292.5,293.15,1097,974887000.0,4293000,1110000,291.0
2017-07-19,SBIN,2017-08-31,293.75,296.0,293.75,295.4,296.0,295.4,952,842131000.0,5529000,1236000,293.3
2017-07-20,SBIN,2017-08-31,295.2,296.05,292.35,293.05,293.35,293.05,1129,995886000.0,6891000,1362000,290.95
2017-07-21,SBIN,2017-08-31,293.15,294.3,290.45,292.5,292.8,292.5,2017,1768085000.0,8721000,1830000,290.65
2017-07-24,SBIN,2017-08-31,292.65,298.5,292.65,296.6,296.4,296.6,4705,4177408000.0,14589000,5868000,294.55
2017-07-25,SBIN,2017-08-31,297.2,299.0,296.4,297.9,297.9,297.9,7146,6381962000.0,27126000,12537000,296.1
2017-07-26,SBIN,2017-08-31,297.95,301.0,296.85,297.75,297.85,297.75,8686,7784897000.0,40425000,13299000,295.8
2017-07-27,SBIN,2017-08-31,299.0,302.0,298.0,300.15,300.5,300.15,15264,13750240000.0,54975000,14550000,298.35
2017-07-28,SBIN,2017-08-31,299.0,302.9,297.6,301.05,301.75,301.05,15087,13609331000.0,58488000,3513000,299.1
2017-07-31,SBIN,2017-08-31,299.15,314.5,299.15,313.55,314.0,313.55,34531,32082260000.0,62484000,3996000,312.5
2017-08-01,SBIN,2017-08-31,315.55,316.55,309.75,310.65,311.0,310.65,16469,15418320000.0,62112000,-372000,309.0
2017-08-02,SBIN,2017-08-31,311.2,312.8,307.55,309.65,307.9,309.65,16110,15004818000.0,63549000,1437000,307.7
2017-08-03,SBIN,2017-08-31,308.05,308.9,301.0,302.6,302.9,302.6,13820,12614735000.0,62169000,-1380000,300.55
2017-08-04,SBIN,2017-08-31,302.0,307.9,299.25,307.0,307.45,307.0,13268,12128255000.0,61794000,-375000,305.25
2017-08-07,SBIN,2017-08-31,306.7,313.6,304.95,312.7,312.5,312.7,13105,12210550000.0,63810000,2016000,311.2
2017-08-08,SBIN,2017-08-31,312.0,313.1,302.45,305.55,306.45,305.55,16271,14964137000.0,64572000,762000,303.65
2017-08-09,SBIN,2017-08-31,305.25,308.7,301.6,303.6,302.9,303.6,16086,14756237000.0,67065000,2493000,302.3
2017-08-10,SBIN,2017-08-31,302.75,303.65,292.2,297.7,299.0,297.7,19176,17235577000.0,64155000,-2910000,296.7
