Time,Open,High,Low,Last,Change,Volume,"Open Interest"
09/06/18,68.34,68.72,66.72,67.52,-0.90000000000001,121094,0
09/05/18,69.09,69.27,68.27,68.42,-1.14,97370,228800
09/04/18,69.49,70.98,68.78,69.56,0.19,140851,223102
08/31/18,69.64,69.91,69.22,69.37,-0.44,68321,214769
08/30/18,69.37,70.07,69.21,69.81,0.64,85734,212960
08/29/18,68.23,69.39,68.04,69.17,0.95,65269,204125
08/28/18,68.6,68.85,67.91,68.22,-0.32000000000001,64788,196478
08/27/18,68.2,68.62,68.02,68.54,0.18000000000001,46529,194173
08/24/18,67.58,68.96,67.47,68.36,0.83,90806,196800
08/23/18,67.72,67.75,67.01,67.53,0.019999999999996,82887,189945
08/22/18,65.72,67.78,65.63,67.51,2.02,76332,186686
08/21/18,65.04,66.07,64.99,65.49,0.39,69768,181902
08/20/18,64.92,65.35,64.57,65.1,0.16,72632,179948
08/17/18,64.61,65.52,64.48,64.94,0.28,44765,181203
08/16/18,64.16,64.73,63.69,64.66,0.42,56023,182406
08/15/18,65.5,65.89,63.72,64.24,-1.76,91575,179756
08/14/18,66.34,67.34,65.58,66,-0.20999999999999,52636,183691
08/13/18,66.67,66.78,64.8,66.21,-0.33000000000001,87641,183446
08/10/18,65.67,66.79,65.13,66.54,0.76000000000001,70769,173598
08/09/18,65.74,66.38,65.54,65.78,-0.090000000000003,61144,163301
08/08/18,67.9,68.19,65.32,65.87,-2.09,81871,156291
08/07/18,67.42,68.44,67.3,67.96,0.47999999999999,61254,149996
08/06/18,67.08,68.28,66.94,67.48,0.55,34823,140096
08/03/18,67.2,67.46,66.27,66.93,-0.25,24695,140765
08/02/18,66.23,67.57,65.46,67.18,1.07,40285,140608
08/01/18,67.11,67.11,65.83,66.11,-1.16,43717,138407
07/31/18,68.34,68.49,66.62,67.27,-1.24,45379,138052
07/30/18,67.58,68.72,67.44,68.51,1.15,40931,138365
07/27/18,67.97,68.19,67.02,67.36,-0.64,42304,137645
07/26/18,67.66,68.16,67.33,68,0.41,37984,136489
07/25/18,66.92,67.72,66.58,67.59,0.82000000000001,49253,136404
07/24/18,66.31,67.24,66.11,66.77,0.33999999999999,41720,137063
07/23/18,66.12,67.17,65.91,66.43,0.25,51910,134613
07/20/18,65.74,66.49,65.49,66.18,0.19000000000001,39134,135470
07/19/18,65.91,66.65,64.85,65.99,0.099999999999994,47754,132676
07/18/18,64.94,66.06,64.68,65.89,0.62,38189,130398
07/17/18,65.09,65.83,64.73,65.27,0.16,42422,132290
07/16/18,67.61,67.87,64.8,65.11,-2.9,47679,131366
07/13/18,67.34,68.58,66.73,68.01,0.57000000000001,42967,128479
07/12/18,66.71,67.53,65.99,67.44,1.11,80718,127655
07/11/18,70.02,70.02,65.89,66.33,-3.55,59173,128018
07/10/18,69.35,70.33,69.33,69.88,0.66,40714,131108
07/09/18,68.86,69.41,68.39,69.22,0.72,41545,128640
07/06/18,68.07,68.6,67.32,68.5,0.54000000000001,37666,131991
07/05/18,68,68.88,67.76,67.96,-0.10000000000001,66720,133077
07/03/18,68.4,69.25,67.31,68.06,-0.45,49373,131246
07/02/18,69.82,69.83,68.2,68.51,-1.65,58491,132209
06/29/18,69.24,70.51,69.07,70.16,0.64999999999999,47530,136539
06/28/18,68.83,69.83,68.67,69.51,0.29000000000001,54225,134406
06/27/18,67.68,69.48,67.49,69.22,1.63,61090,135403
06/26/18,66,67.74,65.61,67.59,1.8,56557,138990
06/25/18,65.96,66.08,65.23,65.79,-0.55,73303,139940
06/22/18,64.13,66.69,63.99,66.34,2.5,116177,143110
06/21/18,64.21,64.55,63.28,63.84,-0.61,65999,145431
06/20/18,63.9,65.04,63.83,64.45,0.51000000000001,42193,144761
06/19/18,64.48,64.48,63.29,63.94,-0.62,23970,142770
06/18/18,63.25,64.77,62.48,64.56,0.82,33346,142598
06/15/18,65.59,65.59,63.03,63.74,-1.8,49779,143905
06/14/18,65.64,66.04,65.15,65.54,-0.13,31039,142081
06/13/18,64.76,65.88,64.6,65.67,0.3,30435,137558
06/12/18,65.14,65.66,64.91,65.37,0.2,25445,131989
06/11/18,64.71,65.4,64.09,65.17,0.26000000000001,28502,127825
06/08/18,65.22,65.37,64.5,64.91,-0.23,44922,121104
06/07/18,64.44,65.28,64.17,65.14,1.01,52591,119236
06/06/18,64.74,65.12,63.64,64.13,-0.60000000000001,33532,117326
06/05/18,64.31,64.77,63.6,64.73,0.63000000000001,41114,116295
06/04/18,64.94,65.14,64.01,64.1,-0.91000000000001,41815,114099
06/01/18,65.98,66.02,64.73,65.01,-0.78999999999999,54505,112864
05/31/18,66.72,66.75,65.34,65.8,-1,41636,112732
05/30/18,65.62,67.17,65.12,66.8,1.27,29463,115438
05/29/18,66.25,66.33,64.72,65.53,-1.19,32596,113825
05/25/18,69.26,69.26,66.32,66.72,-2.51,44566,114860
05/24/18,70.4,70.4,69.1,69.23,-1.11,27462,115532
05/23/18,70.47,70.47,69.5,70.34,-0.17999999999999,33651,114849
05/22/18,70.54,71.1,70.24,70.52,0.099999999999994,37490,112083
05/21/18,69.87,70.63,69.5,70.42,0.85000000000001,24540,116731
05/18/18,69.99,70.07,69.4,69.57,-0.29000000000001,23635,117992
05/17/18,70.04,70.61,69.63,69.86,-0.13,30543,116825
05/16/18,69.43,70.08,69.29,69.99,0.20999999999999,28914,115408
05/15/18,69.79,70.51,69.14,69.78,0.15000000000001,32007,112214
05/14/18,69.13,69.78,68.86,69.63,0.39,21456,108732
05/11/18,69.73,69.75,69.08,69.24,-0.43000000000001,23739,104548
05/10/18,69.28,69.9,68.8,69.67,0.45,21122,101335
05/09/18,68.19,69.4,68.19,69.22,2.04,34319,99658
05/08/18,68.15,68.48,65.82,67.18,-1.51,33990,92940
05/07/18,67.62,68.72,67.54,68.69,1.17,27256,93821
05/04/18,66.18,67.67,65.93,67.52,1.4,26122,92921
05/03/18,65.51,66.28,65.15,66.12,0.43000000000001,21362,93636
05/02/18,65.46,65.77,64.9,65.69,0.42999999999999,21516,91995
05/01/18,66.47,66.76,64.99,65.26,-1.28,24064,89783
04/30/18,65.77,67.23,65.2,66.54,0.57000000000001,24913,91048
04/27/18,65.88,66.24,65.72,65.97,-0.14,14362,91153
04/26/18,66.05,66.51,65.71,66.11,0.23999999999999,19213,90427
04/25/18,65.63,65.88,65.01,65.87,0.36,17521,89489
04/24/18,66.45,66.72,65.25,65.51,-0.73999999999999,26651,88760
04/23/18,65.79,66.48,64.97,66.25,0.40000000000001,26994,87227
04/20/18,65.7,65.9,65.05,65.85,0.17999999999999,19097,85619
04/19/18,65.83,66.53,65.34,65.67,0.079999999999998,25515,85557
04/18/18,64.38,65.84,64.31,65.59,1.44,29187,84197
04/17/18,63.98,64.19,63.44,64.15,0.31,8763,82956
04/16/18,64.55,64.73,63.59,63.84,-0.83,8504,83621
04/13/18,64.19,64.79,63.99,64.67,0.42,13332,83200
04/12/18,64.16,64.54,63.52,64.25,0.010000000000005,14684,82734
04/11/18,63.02,64.49,62.74,64.24,1.16,30056,82430
04/10/18,61.94,63.2,61.53,63.08,1.4,26345,78102
04/09/18,60.55,61.82,60.55,61.68,1.18,18333,77574
04/06/18,61.27,61.81,60.29,60.5,-1.19,17564,76802
04/05/18,61.58,61.99,61.13,61.69,0.4,16245,74771
04/04/18,60.82,61.46,60.13,61.29,-0.039999999999999,13828,78437
04/03/18,60.87,61.57,60.8,61.33,0.56,8034,76234
04/02/18,62.72,62.83,60.59,60.77,-1.63,7005,75983
03/29/18,62.23,62.67,61.8,62.4,0.35,7866,75667
03/28/18,62.29,62.64,61.43,62.05,-0.73,9182,75964
03/27/18,62.78,63.56,62.19,62.78,-0.009999999999998,10328,76334
03/26/18,63.19,63.55,62.43,62.79,-0.22,7247,76221
03/23/18,61.67,63.09,61.67,63.01,1.2,12164,74961
03/22/18,62.46,62.47,61.58,61.81,-0.47,12408,74641
03/21/18,60.95,62.7,60.95,62.28,1.49,15822,75231
03/20/18,59.7,61.14,59.7,60.79,1.04,10040,73740
03/19/18,60.1,60.15,59.34,59.75,-0.36,2882,72976
03/16/18,59.32,60.23,59.12,60.11,0.87,5797,73039
03/15/18,59.15,59.34,58.91,59.24,0.12,5350,72116
03/14/18,58.91,59.24,58.36,59.12,0.21,3886,72371
03/13/18,59.1,59.87,58.42,58.91,-0.33000000000001,10950,72411
03/12/18,59.77,59.77,58.58,59.24,-0.28,7242,71883
03/09/18,58.14,59.57,58.14,59.52,1.51,11684,70700
03/08/18,58.39,58.71,57.82,58.01,-0.52,11480,71170
03/07/18,59.26,59.7,58.09,58.53,-1.17,8152,72388
03/06/18,59.76,60.05,59.33,59.7,0.12,2984,72772
03/05/18,58.56,59.64,58.33,59.58,1.15,6557,72708
03/02/18,58.12,58.56,57.36,58.43,0.45,4293,71938
03/01/18,58.45,58.71,57.24,57.98,-0.58000000000001,5467,72009
02/28/18,59.82,60.46,58.39,58.56,-1.61,8543,71725
02/27/18,60.91,60.91,59.89,60.17,-0.72,6189,71499
02/26/18,60.51,60.99,60.09,60.89,0.33,4109,71585
02/23/18,59.54,60.56,59.34,60.56,0.86,8053,71496
02/22/18,58.45,59.88,58.18,59.7,0.83000000000001,6884,71289
02/21/18,58.18,58.91,58.16,58.87,0.12,4636,71590
02/20/18,58.19,59.11,58.19,58.75,0.62,7516,71168
02/16/18,57.99,58.27,57.54,58.13,0.46,6340,71116
02/15/18,57.69,58.34,56.78,57.67,0.020000000000003,7974,70462
02/14/18,56.3,57.83,55.67,57.65,1.28,7424,71663
02/13/18,56,56.52,55.67,56.37,0.16999999999999,4707,71629
02/12/18,56.51,57.44,56.18,56.2,0.030000000000001,7833,71743
02/09/18,57.47,57.7,55.46,56.17,-1.86,9702,71124
