Time,Open,High,Low,Last,Change,Volume,"Open Interest"
09/05/18,1197.2,1204.2,1196.4,1201.3,2.2,204050,0
09/04/18,1206.3,1209.7,1195.1,1199.1,-7.6000000000001,421469,362530
08/31/18,1206.3,1214.9,1204.1,1206.7,1.7,265106,354157
08/30/18,1212.6,1214,1202.1,1205,-6.5,288072,358770
08/29/18,1206.6,1213.7,1206.6,1211.5,-2.9000000000001,241896,357638
08/28/18,1217.7,1220.7,1205.8,1214.4,-1.5999999999999,273176,361694
08/27/18,1214.5,1218.8,1209.3,1216,2.7,209187,366042
08/24/18,1191.6,1215.4,1189.5,1213.3,19.3,293979,364387
08/23/18,1202.8,1203.4,1190.2,1194,-9.3,232882,364339
08/22/18,1203,1208.4,1199.2,1203.3,3.3,234153,367375
08/21/18,1197.3,1204.3,1194.3,1200,5.4000000000001,218291,366706
08/20/18,1190.4,1197.7,1189.6,1194.6,10.4,205769,364228
08/17/18,1180.7,1192,1178.5,1184.2,0.20000000000005,255792,359550
08/16/18,1183,1189,1167.1,1184,-1,362108,361516
08/15/18,1201.5,1202,1180,1185,-15.7,377682,363775
08/14/18,1201.1,1205.8,1198.9,1200.7,1.8,242549,363101
08/13/18,1218.4,1221.4,1198.6,1198.9,-20.1,374115,362941
08/10/18,1220,1224.9,1213.1,1219,-0.90000000000009,328240,354722
08/09/18,1222,1225.6,1218.4,1219.9,-1.0999999999999,232037,351789
08/08/18,1218.7,1223.8,1213.6,1221,2.7,263236,349848
08/07/18,1215.8,1224.3,1215.6,1218.3,0.59999999999991,205380,346916
08/06/18,1222,1226,1214.4,1217.7,-5.5,199536,346085
08/03/18,1216,1228.5,1212.5,1223.2,3.1000000000001,280209,346005
08/02/18,1224.7,1230,1215.3,1220.1,-7.5,234632,344349
08/01/18,1232.7,1233.7,1224.4,1227.6,-6,218458,339616
07/31/18,1230.5,1237.8,1222.6,1233.6,2.0999999999999,297825,340170
07/30/18,1231.1,1234.1,1227.8,1231.5,-1.2,183752,337501
07/27/18,1231.4,1236.5,1226.3,1232.7,-2.5999999999999,156036,322508
07/26/18,1240.8,1244.6,1231.3,1235.3,-5.7,101394,302167
07/25/18,1233.3,1243.4,1232.5,1241,6.4000000000001,58938,282097
07/24/18,1233.4,1238.6,1227,1234.6,0.19999999999982,66092,267030
07/23/18,1240.7,1244.7,1231.1,1234.4,-6,75931,245283
07/20/18,1233.2,1241.8,1225.3,1240.4,6.4000000000001,55154,229868
07/19/18,1237.6,1239.5,1221,1234,-4.4000000000001,65605,218671
07/18/18,1237.7,1239.4,1231.4,1238.4,0.60000000000014,34290,207670
07/17/18,1251.4,1255.7,1236.6,1237.8,-12.5,29548,196408
07/16/18,1252.3,1256.1,1249,1250.3,-1.6000000000001,13531,193726
07/13/18,1257.5,1259.2,1247,1251.9,-5.5999999999999,41726,190834
07/12/18,1253.8,1259.6,1252.6,1257.5,1.9000000000001,35217,179381
07/11/18,1267.2,1268.8,1252.9,1255.6,-11.3,55714,167979
07/10/18,1269.8,1272.3,1259.1,1266.9,-4.1999999999998,25659,153305
07/09/18,1268,1278.2,1267.7,1271.1,3.8999999999999,32416,148039
07/06/18,1269.8,1271,1265.3,1267.2,-2.8,14258,128754
07/05/18,1265,1273,1263.7,1270,5.2,31002,122703
07/03/18,1255.3,1269.8,1250.1,1264.8,11.8,19871,118621
07/02/18,1265,1267,1252,1253,-13.3,28043,115721
06/29/18,1261.1,1268.7,1259.7,1266.3,3.5,11043,106482
06/28/18,1265.4,1267.1,1259.3,1262.8,-5.2,7391,102906
06/27/18,1271.3,1273.8,1264.2,1268,-3.8,6824,101511
06/26/18,1280,1281,1268.2,1271.8,-9.1000000000001,4139,100474
06/25/18,1283.6,1285.9,1278,1280.9,-1.6999999999998,7389,98966
06/22/18,1281.3,1284.8,1280.5,1282.6,0.19999999999982,9054,97138
06/21/18,1282.2,1284,1275,1282.4,-4.0999999999999,7993,96960
06/20/18,1289.2,1290.6,1281.5,1286.5,-4.2,9787,97579
06/19/18,1294,1298.5,1284.9,1290.7,-1.5999999999999,5939,94361
06/18/18,1292.7,1297,1291.7,1292.3,1.5999999999999,3484,93047
06/15/18,1318.9,1318.9,1290.2,1290.7,-30.1,18220,91946
06/14/18,1315.7,1325.4,1313.7,1320.8,7,5059,86202
06/13/18,1312.1,1317.2,1307,1313.8,1.8999999999999,7588,85923
06/12/18,1317.2,1317.2,1308.8,1311.9,-3.8,5323,85240
06/11/18,1316.5,1319.2,1310.3,1315.7,0.60000000000014,3991,83712
06/08/18,1313.7,1316.5,1308.3,1315.1,0,9034,83112
06/07/18,1313.3,1319.6,1311.1,1315.1,1.5,7793,81319
06/06/18,1313.2,1318.3,1310,1313.6,-0.90000000000009,5861,80329
06/05/18,1308.8,1317,1306.1,1314.5,4.9000000000001,2624,79961
06/04/18,1309.5,1314.5,1306.7,1309.6,-2.1000000000001,3054,79589
06/01/18,1316,1317.2,1305.9,1311.7,-5.3999999999999,7752,79019
05/31/18,1320.3,1323.5,1313.6,1317.1,-2,6411,78777
05/30/18,1315.9,1321.2,1312.9,1319.1,2.3999999999999,4135,79008
05/29/18,1316.4,1323.5,1309.9,1316.7,-5,6369,78870
05/25/18,1322.7,1325.2,1317.8,1321.7,-0.89999999999986,5820,78221
05/24/18,1311.6,1324.5,1310.9,1322.6,15,10880,76057
05/23/18,1310.5,1316,1304.7,1307.6,-2.5,13125,72114
05/22/18,1310.5,1314,1305.5,1310.1,1,5186,68072
05/21/18,1308.1,1310.8,1299.6,1309.1,-0.40000000000009,5167,66989
05/18/18,1307.5,1311.6,1304,1309.5,1.5,4499,65179
05/17/18,1309,1312,1303.8,1308,-2.2,4954,65189
05/16/18,1308.2,1314.8,1304.5,1310.2,1.3,3860,64985
05/15/18,1332.6,1333.4,1307,1308.9,-28.2,7109,64432
05/14/18,1337.2,1341.1,1331.8,1337.1,-2.6000000000001,4148,63030
05/11/18,1340.7,1345,1336.7,1339.7,-1.5999999999999,3556,63265
05/10/18,1331.3,1342,1329.9,1341.3,9.3,3353,62004
05/09/18,1334.8,1336.5,1323.5,1332,-0.70000000000005,4537,61308
05/08/18,1333.7,1337,1325.1,1332.7,-0.39999999999986,4242,61524
05/07/18,1334.3,1338,1329.7,1333.1,-0.60000000000014,2234,61534
05/04/18,1332,1334.9,1327.5,1333.7,2.1000000000001,2683,61266
05/03/18,1325.4,1337.4,1325.4,1331.6,7.1999999999998,3408,61426
05/02/18,1323.8,1333.1,1323.5,1324.4,-1.1999999999998,5596,61281
05/01/18,1334.9,1334.9,1321.2,1325.6,-12.5,3075,60628
04/30/18,1343,1344.4,1330,1338.1,-4.4000000000001,4001,59780
04/27/18,1337.9,1345.4,1335.4,1342.5,5.5999999999999,1444,59533
04/26/18,1342.1,1345.6,1335.3,1336.9,-4.8999999999999,3408,59233
04/25/18,1351,1351.2,1339,1341.8,-10.2,2172,58817
04/24/18,1345.3,1353.3,1343.4,1352,9.0999999999999,4644,58229
04/23/18,1356,1356,1342.7,1342.9,-14.3,6262,57270
04/20/18,1366.7,1366.7,1356.1,1357.2,-10.5,4968,57011
04/19/18,1372.6,1376.3,1362.3,1367.7,-4.7,3863,55855
04/18/18,1369.2,1377.8,1364.6,1372.4,4,3597,54496
04/17/18,1369.6,1370.3,1359,1368.4,-1.3,3607,54063
04/16/18,1368,1372.1,1362.5,1369.7,2.8,3016,53762
04/13/18,1358.3,1369,1356,1366.9,6.2,4772,54216
04/12/18,1374.8,1375.8,1355.8,1360.7,-18.4,8440,52773
04/11/18,1361.8,1388.2,1361.8,1379.1,14.3,10365,52627
04/10/18,1358.5,1365,1353.7,1364.8,5.8999999999999,4908,51677
04/09/18,1355.9,1360,1349.3,1358.9,3.9000000000001,3357,51271
04/06/18,1349.7,1357.5,1343.8,1355,7.7,3301,50301
04/05/18,1356.9,1356.9,1345,1347.3,-11.5,2238,48750
04/04/18,1354.7,1370.7,1354.7,1358.8,2.8,1809,47690
04/03/18,1363.3,1364.7,1351.7,1356,-9.4000000000001,2614,47778
04/02/18,1348.7,1367.5,1348.7,1365.4,19.6,2678,47704
03/29/18,1349.7,1351.2,1344.5,1345.8,-2.8,1646,47584
03/28/18,1369.2,1370.9,1347,1348.6,-18,5806,47067
03/27/18,1376.8,1380.9,1364.2,1366.6,-13.1,5520,46254
03/26/18,1372,1380.3,1368,1379.7,5.5,3648,45274
03/23/18,1357.4,1374.8,1357.4,1374.2,22.5,5840,44583
03/22/18,1356.5,1358.3,1349.7,1351.7,5.9000000000001,4622,44766
03/21/18,1335.3,1359.2,1335.3,1345.8,10.2,5383,43392
03/20/18,1340.3,1340.5,1330.5,1335.6,-5.7,1993,41331
03/19/18,1335.6,1343,1331.9,1341.3,5.5,1520,41133
03/16/18,1340.3,1345.2,1333.1,1335.8,-5.5,1370,40941
03/15/18,1348.4,1350.8,1338.4,1341.3,-7.9000000000001,960,40560
03/14/18,1349,1354,1345.8,1349.2,-1.5999999999999,1380,40211
03/13/18,1347.2,1352.2,1341.6,1350.8,6.3999999999999,1436,39786
03/12/18,1347,1347.6,1339.1,1344.4,-3.3,1781,39714
03/09/18,1342.1,1348.9,1337.3,1347.7,2.4000000000001,1343,39564
03/08/18,1350,1352.4,1343.8,1345.3,-5.6000000000001,1055,39250
03/07/18,1365.4,1365.4,1347.2,1350.9,-7.8999999999999,2271,39303
03/06/18,1345.8,1363,1345.8,1358.8,15.3,1100,38894
03/05/18,1348.8,1351.8,1343,1343.5,-3.5999999999999,1899,38605
03/02/18,1341.9,1349.8,1339.9,1347.1,18.4,2038,38813
03/01/18,1341.3,1345.1,1327.4,1328.7,-13.1,3790,38788
02/28/18,1342.6,1347.2,1341,1341.8,-0.70000000000005,2661,38589
02/27/18,1356.9,1361.2,1339.7,1342.5,-13.8,3856,37612
02/26/18,1352,1365.4,1351.7,1356.3,3.2,2395,37638
02/23/18,1354,1355.4,1350.9,1353.1,-2.3000000000002,701,36980
02/22/18,1351.2,1355.9,1346.1,1355.4,0.60000000000014,1520,36807
02/21/18,1353.8,1360.8,1347.9,1354.8,1.2,1187,36414
02/20/18,1372.5,1375.4,1353.3,1353.6,-24.9,3684,36433
02/16/18,1378.7,1385.9,1369.9,1378.5,1.2,2898,35514
02/15/18,1377.6,1381.4,1373,1377.3,-1.9000000000001,2167,34946
02/14/18,1355.5,1379.7,1343.6,1379.2,27.9,4082,34835
02/13/18,1346.5,1352.9,1346,1351.3,3.8999999999999,1584,36648
02/12/18,1340.1,1349.6,1340.1,1347.4,10.4,2243,36703
02/09/18,1345,1345.1,1334.9,1337,-3.4000000000001,2475,36303
02/08/18,1341.9,1344,1333,1340.4,4.1000000000001,4062,36075
02/07/18,1348.8,1355.8,1335.4,1336.3,-14.7,1606,36050
